ISO3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GRD,Grenada,0.106,0.11,0.117,0.121,0.143,0.15,0.154,0.169,0.176,0.194,0.191,0.194,0.205,0.216,0.205,0.216,0.231,0.238,0.253,0.253,0.26,0.253,0.271,0.304,0.234,0.26,0.267,0.278,0.279,0.288
GTM,Guatemala,4.97,4.952,5.918,5.577,6.751,7.079,6.57,7.502,8.639,8.807,9.766,10.233,10.722,10.448,11.18,12.108,12.175,12.145,10.893,11.442,11.098,11.238,11.559,12.582,13.569,15.426,16.376,17.214,19.411,20.513
GIN,Guinea,1.004,1.026,1.059,1.088,1.125,1.165,1.235,1.29,1.363,1.433,1.491,1.561,1.623,1.7,1.762,1.825,1.891,1.968,1.997,2.11,2.484,2.594,2.422,2.11,2.165,2.451,2.744,2.88,3.032,3.153
GNB,Guinea-Bissau,0.172,0.176,0.18,0.183,0.183,0.183,0.183,0.202,0.172,0.194,0.147,0.15,0.154,0.194,0.202,0.213,0.216,0.231,0.227,0.234,0.238,0.245,0.253,0.256,0.271,0.278,0.293,0.293,0.309,0.321
GUY,Guyana,1.129,1.107,1.041,1.044,1.458,1.572,1.656,1.806,1.828,1.832,1.748,1.744,1.715,1.858,1.927,1.619,1.51,1.781,1.707,1.909,1.887,1.96,1.96,1.905,1.971,2.004,2.344,2.318,2.343,2.39
HTI,Haiti,0.994,0.976,0.888,0.685,0.183,0.876,1.019,1.348,1.231,1.312,1.341,1.553,1.802,1.71,1.96,2.047,2.084,2.361,2.366,2.237,2.093,2.087,2.19,2.293,2.785,3.191,3.235,3.272,3.367,3.281
HND,Honduras,2.423,2.445,2.693,2.834,3.175,3.783,3.839,3.975,4.766,4.646,4.978,5.653,5.913,6.664,7.247,7.577,6.863,8.598,8.518,8.073,7.959,8.635,8.989,9.245,9.339,10.082,9.554,9.899,10.471,10.928
HKG,Hong Kong,27.147,28.463,32.917,34.778,31.079,31.266,28.91,30.498,38.924,42.55,40.284,37.802,39.485,43.203,41.568,43.731,41.914,43.572,42.791,41.58,40.064,43.15,42.743,44.306,45.491,42.391,43.388,42.552,42.506,41.536
HUN,Hungary,73.465,69.785,62.416,63.633,61.974,61.691,63.258,61.813,61.415,61.912,58.608,60.239,59.197,61.981,60.49,60.607,59.915,58.689,57.531,51.775,52.124,50.322,46.777,43.705,43.863,46.628,47.396,49.685,49.628,49.101
ISL,Iceland,2.248,2.128,2.274,2.432,2.373,2.477,2.532,2.628,2.648,2.854,2.946,2.875,3.001,2.995,3.117,2.986,3.164,3.512,3.825,3.74,3.66,3.511,3.503,3.493,3.47,3.545,3.498,3.615,3.675,3.322
IND,India,578.687,616.106,656.223,678.116,717.127,762.338,826.151,859.929,877.939,951.671,978.427,992.529,1022.849,1059.416,1125.264,1185.761,1259.522,1357.916,1462.574,1612.515,1678.479,1766.065,1941.313,2033.412,2184.432,2253.429,2392.36,2456.848,2591.324,2616.449
IDN,Indonesia,150.286,180.622,203.577,219.762,222.854,226.545,255.069,280.736,215.97,243.952,265.803,297.53,307.361,316.655,339.848,343.336,346.443,376.865,417.562,447.099,428.174,508.073,526.383,411.191,416.823,507.012,568.194,531.012,576.584,617.513
IRN,Iran,209.238,225.954,226.957,235.577,263.52,271.148,274.008,267.099,306.006,379.627,369.263,394.931,397.798,413.993,442.09,463.53,503.791,513.314,534.91,546.885,564.035,579.04,600.684,608.71,641.916,640.811,648.061,724.578,755.402,779.527
IRQ,Iraq,49.057,45.185,58.889,63.13,71.089,74.084,69.284,68.079,72.101,71.681,71.715,84.556,86.321,90.787,113.635,112.98,98.181,61.492,92.167,103.489,110.985,135.274,152.815,163.677,165.151,165.646,194.361,208.713,211.27,221.384
IRL,Ireland,32.944,33.674,33.495,33.716,34.838,35.853,37.469,38.805,40.709,42.44,45.249,47.607,46.082,45.684,46.167,48.156,47.604,47.665,47.366,42.18,41.748,38.052,38.21,37.235,36.785,38.545,40.03,38.91,38.803,37.118
ISR,Israel,35.823,36.149,42.083,44.234,47.474,49.865,51.936,54.864,56.009,54.755,59.519,63.022,59.3,62.415,58.679,56.524,62.149,62.8,67.98,63.861,68.287,68.595,74.785,64.975,62.279,64.95,63.907,62.467,62.213,64.172
ITA,Italy,438.009,437.539,437.83,430.18,424.582,448.333,442.277,448.045,460.049,464.548,468.442,468.643,476.251,494.183,499.619,500.006,495.124,487.693,476.23,422.624,433.688,422.039,401.555,367.569,347.861,360.088,356.556,351.474,348.085,337.086
JAM,Jamaica,7.527,7.751,7.711,8.0,8.191,9.173,9.688,10.068,9.694,9.958,10.314,10.576,10.203,10.667,10.574,10.417,11.577,10.749,10.78,7.934,7.677,8.256,7.913,8.492,7.679,7.937,8.141,7.798,8.01,8.014
JPN,Japan,1158.391,1170.066,1179.74,1172.647,1227.567,1239.928,1251.868,1245.112,1205.416,1242.015,1264.844,1250.211,1279.453,1287.642,1282.872,1290.056,1266.829,1302.524,1231.91,1162.648,1214.069,1264.155,1305.433,1314.703,1263.05,1222.781,1203.167,1187.661,1135.688,1106.664
JOR,Jordan,10.478,9.903,11.983,11.774,13.249,13.208,13.826,14.074,14.252,14.265,15.2,15.61,16.421,16.982,18.669,20.436,20.527,21.437,20.718,21.336,20.614,21.244,23.813,23.813,25.894,25.27,23.994,25.467,24.924,26.072
KAZ,Kazakhstan,281.214,271.741,246.741,219.39,185.835,178.207,163.544,155.572,150.541,124.952,148.756,142.924,160.804,178.775,188.476,202.326,221.649,227.961,229.096,224.146,250.897,240.651,246.75,254.547,278.776,288.578,288.421,307.927,319.647,313.798
KEN,Kenya,5.686,4.71,5.402,6.215,6.42,7.405,9.155,8.12,9.896,10.029,10.302,9.236,7.82,6.586,7.438,8.339,9.337,9.54,9.912,11.968,11.746,12.928,11.987,12.77,13.773,16.301,17.152,16.533,17.137,17.315
KIR,Kiribati,0.022,0.022,0.026,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.033,0.029,0.04,0.044,0.048,0.059,0.066,0.059,0.066,0.055,0.059,0.055,0.051,0.051,0.059,0.062,0.066,0.066,0.069,0.073
KWT,Kuwait,37.806,14.915,29.647,49.129,55.226,54.589,49.914,54.671,51.561,53.822,53.384,57.485,57.98,59.623,63.108,71.166,73.389,74.875,82.298,86.955,89.272,86.263,100.073,93.583,91.033,96.265,101.574,104.784,104.218,107.532
KGZ,Kyrgyzstan,21.107,18.495,11.082,8.502,6.146,4.511,5.664,5.573,5.913,4.647,4.602,3.862,4.919,5.382,5.807,5.514,5.419,6.518,7.548,6.737,6.313,7.554,10.0,9.658,10.095,10.278,9.64,9.263,10.169,11.483
LAO,Laos,0.513,0.546,0.593,0.608,0.633,0.67,0.751,0.791,0.82,0.846,0.958,1.061,1.163,1.217,1.279,1.337,1.753,1.831,2.127,2.664,3.0,3.167,3.398,4.007,4.329,8.806,14.261,17.914,32.262,32.815
LVA,Latvia,19.504,17.783,14.08,11.819,10.297,9.09,9.17,8.646,8.281,7.696,7.065,7.474,7.503,7.723,7.728,7.807,8.306,8.632,8.193,7.452,8.549,7.805,7.515,7.382,7.183,7.273,7.221,7.223,7.859,8.262
